序号,频道名称,组播地址,频道ID,清晰度/帧率/码率,				回放地址
172,直播室1,239.93.1.180:5140,9399,FHD|25FPS|6M,rtsp://182.139.235.40/PLTV/88888893/224/3221227024/10000100000000060000000003216340_0.smil
173,直播室2,239.93.1.181:5140,9400,FHD|25FPS|7M,rtsp://182.139.235.40/PLTV/88888893/224/3221227026/10000100000000060000000003216415_0.smil
174,直播室3,239.93.1.182:5140,9401,FHD|25FPS|9M,rtsp://182.139.235.40/PLTV/88888893/224/3221227451/10000100000000060000000003216416_0.smil
175,直播室4,239.93.1.183:5140,9402,FHD|25FPS|7M,rtsp://182.139.235.40/PLTV/88888893/224/3221227028/10000100000000060000000003216417_0.smil
176,直播室5,239.93.1.184:5140,9403,FHD|25FPS|10M,rtsp://182.139.235.40/PLTV/88888893/224/3221227453/10000100000000060000000003216418_0.smil
177,直播室6,239.93.1.185:5140,9404,FHD|25FPS|17M,rtsp://182.139.235.40/PLTV/88888893/224/3221227030/10000100000000060000000003216419_0.smil
178,直播室7,239.93.1.186:5140,9405,FHD|25FPS|53M,rtsp://182.139.235.40/PLTV/88888893/224/3221227032/10000100000000060000000003216420_0.smil
179,直播室8,239.93.1.187:5140,9406,FHD|25FPS|13M,rtsp://182.139.235.40/PLTV/88888893/224/3221227455/10000100000000060000000003216421_0.smil
180,红原日干乔,239.93.0.178:5140,640973807,FHD|25FPS|21M,rtsp://182.139.235.40/PLTV/88888896/224/3221228455/640973808.smil
181,红原月亮湾,239.93.0.209:5140,640973625,FHD|25FPS|17M,rtsp://182.139.235.40/PLTV/88888896/224/3221228424/640973626.smil
182,世预赛四十强赛,239.93.1.113:5140,9858,未能播放,rtsp://182.139.235.40/PLTV/88888893/224/3221228017/10000100000000060000000003790175_0.smil
183,雅克音乐季直播,239.93.1.237:5140,640972132,未能播放,rtsp://182.139.235.40/PLTV/88888896/224/3221228460/640972133.smil
184,雅克音乐季宣传,239.93.1.43:5140,640973629,未能播放,rtsp://182.139.235.40/PLTV/88888896/224/3221228429/640973630.smil
185,云演艺直播,239.93.42.59:5140,678608064,FHD|25FPS|11M,rtsp://182.139.235.40/PLTV/88888896/224/3221228533/678608065.smil
186,云演艺宣传,239.93.42.60:5140,678607123,FHD|25FPS|5M,rtsp://182.139.235.40/PLTV/88888896/224/3221228538/678607124.smil
187,920,239.93.1.130:5140,45250385,FHD|25FPS|30M,rtsp://182.139.235.40/PLTV/89888988/224/3221228251/10000100000000060000000004549424_0.smil
188,921,239.93.1.131:5140,45250384,FHD|25FPS|37M,rtsp://182.139.235.40/PLTV/89888988/224/3221228246/10000100000000060000000004549423_0.smil
189,922,239.93.1.132:5140,45250392,FHD|25FPS|26M,rtsp://182.139.235.40/PLTV/89888988/224/3221228253/10000100000000060000000004549426_0.smil
190,923,239.93.1.133:5140,45250398,FHD|25FPS|19M,rtsp://182.139.235.40/PLTV/89888988/224/3221228252/10000100000000060000000004549427_0.smil
191,924,239.93.1.122:5140,45249788,FHD|25FPS|31M,rtsp://182.139.235.40/PLTV/89888988/224/3221228245/10000100000000060000000004549395_0.smil
192,925,239.93.1.123:5140,45249044,FHD|25FPS|25M,rtsp://182.139.235.40/PLTV/89888988/224/3221228240/10000100000000060000000004549369_0.smil
193,926,239.93.1.124:5140,45250294,FHD|25FPS|21M,rtsp://182.139.235.40/PLTV/89888988/224/3221228250/10000100000000060000000004549417_0.smil
194,927,239.93.1.125:5140,45249347,FHD|25FPS|24M,rtsp://182.139.235.40/PLTV/89888988/224/3221228248/10000100000000060000000004549379_0.smil
195,928,239.93.1.126:5140,45249351,FHD|25FPS|21M,rtsp://182.139.235.40/PLTV/89888988/224/3221228243/10000100000000060000000004549380_0.smil
196,929,239.93.1.127:5140,45249355,FHD|25FPS|13M,rtsp://182.139.235.40/PLTV/89888988/224/3221228244/10000100000000060000000004549381_0.smil
197,CCTV-1画中画,239.93.0.148:5140,46373673,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228350/10000100000000060000000004579063_0.smil
198,CCTV-2画中画,239.93.0.149:5140,46373681,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228329/10000100000000060000000004579064_0.smil
199,CCTV-3画中画,239.93.0.150:5140,46373685,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228345/10000100000000060000000004579065_0.smil
200,CCTV-4-画中画,239.93.0.212:5140,46105768,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228293/10000100000000060000000004572322_0.smil
201,CCTV-5画中画,239.93.0.158:5140,46402977,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/89888988/224/3221228355/10000100000000060000000004579944_0.smil
202,CCTV-6画中画,239.93.0.64:5140,46402981,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228360/10000100000000060000000004579946_0.smil
203,CCTV-7画中画,239.93.0.79:5140,46402985,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228334/10000100000000060000000004579951_0.smil
204,CCTV-8画中画,239.93.0.154:5140,46402989,SD|25FPS|0.73M,rtsp://182.139.235.40/PLTV/89888988/224/3221228365/10000100000000060000000004579952_0.smil
205,CCTV-9画中画,239.93.1.64:5140,46402993,SD|25FPS|4M,rtsp://182.139.235.40/PLTV/89888988/224/3221228339/10000100000000060000000004579953_0.smil
206,CCTV-10画中画,239.93.1.63:5140,46403004,SD|25FPS|0.75M,rtsp://182.139.235.40/PLTV/89888988/224/3221228337/10000100000000060000000004579954_0.smil
207,CCTV-11-画中画,239.93.0.170:5140,46048754,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228260/10000100000000060000000004570904_0.smil
208,CCTV-12画中画,239.93.1.41:5140,46403008,SD|25FPS|0.79M,rtsp://182.139.235.40/PLTV/89888988/224/3221228344/10000100000000060000000004579955_0.smil
209,CCTV-新闻-画中画,239.93.0.187:5140,46098327,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228258/10000100000000060000000004571934_0.smil
210,CCTV-少儿画中画,239.93.1.40:5140,46403012,SD|25FPS|4M,rtsp://182.139.235.40/PLTV/89888988/224/3221228341/10000100000000060000000004579956_0.smil
211,CCTV-音乐-画中画,239.93.0.171:5140,46048770,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228266/10000100000000060000000004570906_0.smil
212,CCTV-1-单音轨,239.93.1.68:5140,10028,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221227994/10000100000000060000000004090431_0.smil
213,CCTV-1杜比-单音轨,239.93.1.87:5140,10048,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888895/224/3221228024/10000100000000060000000004090477_0.smil
214,CCTV-5＋-单音轨,239.93.1.79:5140,10039,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/88888895/224/3221228089/10000100000000060000000004090456_0.smil
215,CGTN-画中画,239.93.0.216:5140,46049065,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/89888988/224/3221228262/10000100000000060000000004570910_0.smil
216,CCTV-2-单音轨,239.93.1.69:5140,10029,SD|25FPS|0.64M,rtsp://182.139.235.40/PLTV/88888895/224/3221228065/10000100000000060000000004090434_0.smil
217,四川卫视画中画,239.93.0.128:5140,46403035,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228380/10000100000000060000000004579967_0.smil
218,湖南卫视画中画,239.93.1.46:5140,46403171,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228354/10000100000000060000000004579996_0.smil
219,江苏卫视画中画,239.93.1.45:5140,46403175,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228356/10000100000000060000000004579999_0.smil
220,浙江卫视画中画,239.93.1.6:5140,46403179,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228313/10000100000000060000000004580005_0.smil
221,东方卫视画中画,239.93.1.44:5140,46403195,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228352/10000100000000060000000004580012_0.smil
222,北京卫视画中画,239.93.1.66:5140,46403228,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228318/10000100000000060000000004580033_0.smil
223,深圳卫视画中画,239.93.1.21:5140,46403183,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228347/10000100000000060000000004580008_0.smil
224,天津卫视画中画,239.93.1.134:5140,46403201,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228359/10000100000000060000000004580013_0.smil
225,广东卫视画中画,239.93.0.201:5140,46407855,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228328/10000100000000060000000004580168_0.smil
226,山东卫视画中画,239.93.0.229:5140,46403740,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228385/10000100000000060000000004580068_0.smil
227,SCTV-2画中画,239.93.1.62:5140,46403039,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228342/10000100000000060000000004579968_0.smil
228,SCTV-3画中画,239.93.1.211:5140,46403047,SD|25FPS|0.67M,rtsp://182.139.235.40/PLTV/89888988/224/3221228349/10000100000000060000000004579969_0.smil
229,SCTV-4画中画,239.93.1.139:5140,46097505,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/89888988/224/3221228272/10000100000000060000000004571928_0.smil
230,SCTV-5画中画,239.93.1.254:5140,46403165,SD|25FPS|0.91M,rtsp://182.139.235.40/PLTV/89888988/224/3221228351/10000100000000060000000004579994_0.smil
231,SCTV-6画中画,239.93.1.140:5140,46098077,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228265/10000100000000060000000004571932_0.smil
232,SCTV-7画中画,239.93.1.145:5140,46099869,SD|25FPS|0.81M,rtsp://182.139.235.40/PLTV/89888988/224/3221228281/10000100000000060000000004571963_0.smil
233,SCTV-科教画中画,239.93.1.146:5140,46099871,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228264/10000100000000060000000004571962_0.smil
234,SCTV-9画中画,239.93.1.148:5140,46099885,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228277/10000100000000060000000004571972_0.smil
235,峨眉电影-单音轨,239.93.1.95:5140,10056,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888895/224/3221228119/10000100000000060000000004090493_0.smil
236,康巴卫视画中画,239.93.1.149:5140,46099881,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228291/10000100000000060000000004571971_0.smil
237,江西卫视画中画,239.93.1.19:5140,46100428,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228275/10000100000000060000000004571994_0.smil
238,东南卫视画中画,239.93.1.201:5140,46101230,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228301/10000100000000060000000004572027_0.smil
239,黑龙江卫视画中画,239.93.0.231:5140,46403438,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228361/10000100000000060000000004580067_0.smil
240,重庆卫视画中画,239.93.0.119:5140,46403233,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228390/10000100000000060000000004580046_0.smil
241,贵州卫视画中画,239.93.1.200:5140,46101232,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/89888988/224/3221228287/10000100000000060000000004572026_0.smil
242,湖北卫视画中画,239.93.0.115:5140,46404659,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228323/10000100000000060000000004580079_0.smil
243,安徽卫视画中画,239.93.1.166:5140,46100437,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228268/10000100000000060000000004571998_0.smil
244,河北卫视画中画,239.93.1.202:5140,46101238,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228285/10000100000000060000000004572029_0.smil
245,辽宁卫视画中画,239.93.1.167:5140,46100436,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228282/10000100000000060000000004571997_0.smil
246,河南卫视画中画,239.93.1.169:5140,46100429,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228280/10000100000000060000000004571995_0.smil
247,广西卫视画中画,239.93.1.203:5140,46101243,SD|25FPS|4M,rtsp://182.139.235.40/PLTV/89888988/224/3221228274/10000100000000060000000004572031_0.smil
248,云南卫视画中画,239.93.1.168:5140,46100439,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/89888988/224/3221228263/10000100000000060000000004571996_0.smil
249,吉林卫视画中画,239.93.1.204:5140,46101242,未能播放,rtsp://182.139.235.40/PLTV/89888988/224/3221228296/10000100000000060000000004572030_0.smil
250,陕西卫视画中画,239.93.1.205:5140,46101600,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228269/10000100000000060000000004572042_0.smil
251,山西卫视画中画,239.93.1.207:5140,46101599,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228279/10000100000000060000000004572043_0.smil
252,内蒙古卫视画中画,239.93.1.208:5140,46101603,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228290/10000100000000060000000004572044_0.smil
253,青海卫视画中画,239.93.1.209:5140,46101611,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228292/10000100000000060000000004572045_0.smil
254,宁夏卫视画中画,239.93.1.212:5140,46101615,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228284/10000100000000060000000004572046_0.smil
255,西藏卫视画中画,239.93.1.213:5140,46101944,SD|25FPS|0.79M,rtsp://182.139.235.40/PLTV/89888988/224/3221228295/10000100000000060000000004572056_0.smil
256,新疆卫视画中画,239.93.1.214:5140,46101943,SD|25FPS|5M,rtsp://182.139.235.40/PLTV/89888988/224/3221228273/10000100000000060000000004572057_0.smil
257,甘肃卫视画中画,239.93.1.215:5140,46101941,未能播放,rtsp://182.139.235.40/PLTV/89888988/224/3221228289/10000100000000060000000004572058_0.smil
258,旅游卫视画中画,239.93.1.216:5140,46101958,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228306/10000100000000060000000004572059_0.smil
259,CCTV-7-单音轨,239.93.1.73:5140,10033,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221228077/10000100000000060000000004090443_0.smil
260,CCTV-8-单音轨,239.93.1.74:5140,10034,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221228052/10000100000000060000000004090444_0.smil
261,峨眉电影画中画,239.93.1.161:5140,46099877,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228286/10000100000000060000000004571970_0.smil
262,CDTV-1画中画,239.93.1.58:5140,46403016,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228370/10000100000000060000000004579957_0.smil
263,CDTV-2-画中画,239.93.0.137:5140,46049061,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228254/10000100000000060000000004570914_0.smil
264,CDTV-3-画中画,239.93.0.153:5140,46049074,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228267/10000100000000060000000004570915_0.smil
265,CDTV-4-画中画,239.93.1.118:5140,46098339,SD|25FPS|0.65M,rtsp://182.139.235.40/PLTV/89888988/224/3221228259/10000100000000060000000004571940_0.smil
266,CDTV-5画中画,239.93.1.57:5140,46403020,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228346/10000100000000060000000004579958_0.smil
267,CDTV-6-画中画,239.93.1.119:5140,46098335,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228276/10000100000000060000000004571938_0.smil
268,CDTV-8-画中画,239.93.1.121:5140,46098331,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228270/10000100000000060000000004571936_0.smil
269,CCTV-3-单音轨,239.93.1.70:5140,10030,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221228067/10000100000000060000000004090440_0.smil
270,CCTV-5-单音轨,239.93.1.71:5140,10031,SD|25FPS|0.74M,rtsp://182.139.235.40/PLTV/88888895/224/3221228000/10000100000000060000000004090441_0.smil
271,CCTV-6-单音轨,239.93.1.72:5140,10032,SD|50FPS|2M,rtsp://182.139.235.40/PLTV/88888895/224/3221228071/10000100000000060000000004090442_0.smil
272,CCTV-9-单音轨,239.93.1.75:5140,10035,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888895/224/3221228073/10000100000000060000000004090447_0.smil
273,熊猫新闻-单音轨,239.93.1.98:5140,10059,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888895/224/3221228036/10000100000000060000000004090496_0.smil
274,城市大明星-单音轨,239.93.1.93:5140,10054,SD|25FPS|0.58M,rtsp://182.139.235.40/PLTV/88888895/224/3221228082/10000100000000060000000004090491_0.smil
275,少儿才艺大赛-单音轨,239.93.1.96:5140,10057,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221228088/10000100000000060000000004090494_0.smil
276,熊猫影院画中画,239.93.0.220:5140,46107375,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228288/10000100000000060000000004572756_0.smil
277,四川广场舞大赛-单音轨,239.93.1.97:5140,10058,SD|25FPS|0.83M,rtsp://182.139.235.40/PLTV/88888895/224/3221228103/10000100000000060000000004090495_0.smil
278,热门央视,239.93.1.33:5140,10023,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221228055/10000100000000060000000004090291_0.smil
279,热门卫视,239.93.1.34:5140,10022,SD|25FPS|0.89M,rtsp://182.139.235.40/PLTV/88888895/224/3221228040/10000100000000060000000004090297_0.smil
280,金熊猫卡通画中画,239.93.0.232:5140,46107371,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228316/10000100000000060000000004572757_0.smil
281,炫动卡通画中画,239.93.0.33:5140,46963447,SD|25FPS|0.7M,rtsp://182.139.235.40/PLTV/89888988/224/3221228333/10000100000000060000000004598540_0.smil
282,江苏卫视-单音轨,239.93.1.80:5140,10041,SD|25FPS|0.68M,rtsp://182.139.235.40/PLTV/88888895/224/3221228018/10000100000000060000000004090460_0.smil
283,收视导视画中画,239.93.1.243:5140,46105441,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228324/10000100000000060000000004572259_0.smil
284,熊猫直播画中画,239.93.0.172:5140,46105772,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228317/10000100000000060000000004572321_0.smil
285,大爱四川画中画,239.93.0.228:5140,46105749,SD|25FPS|0.93M,rtsp://182.139.235.40/PLTV/89888988/224/3221228320/10000100000000060000000004572316_0.smil
286,浙江卫视-单音轨,239.93.1.81:5140,10042,SD|25FPS|0.65M,rtsp://182.139.235.40/PLTV/88888895/224/3221228095/10000100000000060000000004090461_0.smil
287,热门本地,239.93.1.35:5140,10021,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888895/224/3221228053/10000100000000060000000004090301_0.smil
288,喜剧影院画中画,239.93.0.36:5140,46963457,SD|25FPS|0.91M,rtsp://182.139.235.40/PLTV/89888988/224/3221228364/10000100000000060000000004598542_0.smil
289,星光院线画中画,239.93.0.37:5140,46963461,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228400/10000100000000060000000004598543_0.smil
290,全球大片画中画,239.93.0.35:5140,46963465,SD|25FPS|0.9M,rtsp://182.139.235.40/PLTV/89888988/224/3221228367/10000100000000060000000004598544_0.smil
291,热门央视-体验,239.93.1.47:5140,10018,SD|25FPS|0.26M,rtsp://182.139.235.40/PLTV/88888895/224/3221228047/10000100000000060000000004090274_0.smil
292,热门剧场画中画,239.93.0.39:5140,46963473,SD|25FPS|0.82M,rtsp://182.139.235.40/PLTV/89888988/224/3221228362/10000100000000060000000004598546_0.smil
293,山东卫视-单音轨,239.93.1.86:5140,10047,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221228085/10000100000000060000000004090476_0.smil
294,黑龙江卫视-单音轨,239.93.1.85:5140,10046,SD|25FPS|0.45M,rtsp://182.139.235.40/PLTV/88888895/224/3221228070/10000100000000060000000004090470_0.smil
295,卡酷动画画中画,239.93.1.217:5140,46101954,SD|25FPS|0.56M,rtsp://182.139.235.40/PLTV/89888988/224/3221228297/10000100000000060000000004572060_0.smil
296,金鹰卡通画中画,239.93.1.218:5140,46101959,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228302/10000100000000060000000004572061_0.smil
297,优漫卡通画中画,239.93.0.32:5140,46963443,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228338/10000100000000060000000004598539_0.smil
298,重庆卫视高清-画中画,239.93.0.233:5140,46098757,SD|25FPS|0.82M,rtsp://182.139.235.40/PLTV/89888988/224/3221228261/10000100000000060000000004571949_0.smil
299,热门卫视-体验,239.93.1.49:5140,10024,SD|25FPS|0.61M,rtsp://182.139.235.40/PLTV/88888895/224/3221228061/10000100000000060000000004090410_0.smil
300,SCTV2-单音轨,239.93.1.99:5140,10060,SD|25FPS|0.88M,rtsp://182.139.235.40/PLTV/88888895/224/3221228125/10000100000000060000000004090502_0.smil
301,SCTV3-单音轨,239.93.1.15:5140,10061,SD|25FPS|0.81M,rtsp://182.139.235.40/PLTV/88888895/224/3221228109/10000100000000060000000004090503_0.smil
302,热门本地-体验,239.93.1.53:5140,10027,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221227988/10000100000000060000000004090417_0.smil
303,影视文艺-单音轨,239.93.1.89:5140,10050,SD|50FPS|2M,rtsp://182.139.235.40/PLTV/88888895/224/3221228076/10000100000000060000000004090479_0.smil
304,四川卫视-单音轨,239.93.1.88:5140,10049,SD|25FPS|0.78M,rtsp://182.139.235.40/PLTV/88888895/224/3221228107/10000100000000060000000004090478_0.smil
305,东方卫视-单音轨,239.93.1.82:5140,10043,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221228064/10000100000000060000000004090467_0.smil
306,CCTV-少儿-单音轨,239.93.1.78:5140,10038,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888895/224/3221228012/10000100000000060000000004090455_0.smil
307,大爱旅游画中画,239.93.0.177:5140,46105731,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228309/10000100000000060000000004572312_0.smil
308,大爱生活画中画,239.93.0.225:5140,46105739,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228304/10000100000000060000000004572313_0.smil
309,大爱时尚画中画,239.93.0.227:5140,46105743,SD|50FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228327/10000100000000060000000004572315_0.smil
310,北京卫视-单音轨,239.93.1.83:5140,10044,SD|25FPS|0.75M,rtsp://182.139.235.40/PLTV/88888895/224/3221228079/10000100000000060000000004090468_0.smil
311,深圳卫视-单音轨,239.93.1.84:5140,10045,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221228101/10000100000000060000000004090469_0.smil
312,东方财经画中画,239.93.0.31:5140,46963436,SD|25FPS|0.89M,rtsp://182.139.235.40/PLTV/89888988/224/3221228376/10000100000000060000000004598538_0.smil
313,CCTV-12-单音轨,239.93.1.77:5140,10037,SD|25FPS|0.68M,rtsp://182.139.235.40/PLTV/88888895/224/3221228083/10000100000000060000000004090452_0.smil
314,天津卫视-单音轨,239.93.1.90:5140,10051,SD|25FPS|0.72M,rtsp://182.139.235.40/PLTV/88888895/224/3221228091/10000100000000060000000004090480_0.smil
315,湖南卫视-单音轨,239.93.1.8:5140,10040,SD|25FPS|0.91M,rtsp://182.139.235.40/PLTV/88888895/224/3221228058/10000100000000060000000004090457_0.smil
316,CCTV-10-单音轨,239.93.1.76:5140,10036,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221228006/10000100000000060000000004090448_0.smil
317,湖北卫视-单音轨,239.93.1.91:5140,10052,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221228030/10000100000000060000000004090484_0.smil
318,广东卫视-单音轨,239.93.1.92:5140,10053,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221228113/10000100000000060000000004090485_0.smil
319,高网画中画,239.93.0.77:5140,46105153,SD|25FPS|0.76M,rtsp://182.139.235.40/PLTV/89888988/224/3221228294/10000100000000060000000004572220_0.smil
320,台球画中画,239.93.1.227:5140,46105412,SD|25FPS|0.64M,rtsp://182.139.235.40/PLTV/89888988/224/3221228299/10000100000000060000000004572248_0.smil
321,大爱四川高清画中画,239.93.0.25:5140,46963432,SD|50FPS|2M,rtsp://182.139.235.40/PLTV/89888988/224/3221228372/10000100000000060000000004598536_0.smil
322,墨宝画中画,239.93.0.73:5140,46105453,SD|25FPS|0.9M,rtsp://182.139.235.40/PLTV/89888988/224/3221228332/10000100000000060000000004572257_0.smil
323,军事画中画,239.93.0.71:5140,46105139,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228310/10000100000000060000000004572219_0.smil
324,解密画中画,239.93.0.70:5140,46105419,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228322/10000100000000060000000004572247_0.smil
325,地理画中画,239.93.0.75:5140,46105424,SD|25FPS|0.88M,rtsp://182.139.235.40/PLTV/89888988/224/3221228321/10000100000000060000000004572249_0.smil
326,传奇画中画,239.93.0.76:5140,46105457,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228336/10000100000000060000000004572260_0.smil
327,收视指南画中画,239.93.0.38:5140,46963469,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228371/10000100000000060000000004598545_0.smil
328,资讯新干线画中画,239.93.1.136:5140,46095845,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228256/10000100000000060000000004571864_0.smil
329,蓉城先锋画中画,239.93.1.138:5140,46096053,SD|25FPS|0.95M,rtsp://182.139.235.40/PLTV/89888988/224/3221228257/10000100000000060000000004571898_0.smil
330,星空精选画中画,239.93.0.230:5140,46105747,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/89888988/224/3221228283/10000100000000060000000004572317_0.smil
