序号,频道名称,组播地址,频道ID,清晰度/帧率/码率,				回放地址
42,峨眉电影高清,239.93.1.54:5140,9773,FHD|50FPS|31M,rtsp://182.139.235.40/PLTV/88888896/224/3221227951/10000100000000060000000003709052_0.smil
43,康巴卫视高清,239.93.0.41:5140,641326171,FHD|25FPS|8M,rtsp://182.139.235.40/PLTV/88888896/224/3221228434/641326172.smil
44,江西卫视高清,239.93.0.134:5140,585951198,FHD|25FPS|10M,rtsp://182.139.235.40/PLTV/88888888/224/3221228430/585951199.smil
45,东南卫视高清,239.93.0.42:5140,48048188,FHD|25FPS|11M,rtsp://182.139.235.40/PLTV/88888896/224/3221228382/10000100000000060000000004634240_0.smil
46,黑龙江卫视高清,239.93.0.183:5140,9827,FHD|25FPS|22M,rtsp://182.139.235.40/PLTV/88888896/224/3221227977/10000100000000060000000003743094_0.smil
47,重庆卫视高清,239.93.1.107:5140,9854,FHD|25FPS|14M,rtsp://182.139.235.40/PLTV/88888896/224/3221228005/10000100000000060000000003751248_0.smil
48,贵州卫视高清,239.93.0.131:5140,585951203,FHD|25FPS|13M,rtsp://182.139.235.40/PLTV/88888888/224/3221228407/585951205.smil
49,湖北卫视高清,239.93.0.250:5140,9824,FHD|25FPS|34M,rtsp://182.139.235.40/PLTV/88888896/224/3221227974/10000100000000060000000003734390_0.smil
50,安徽卫视高清,239.93.1.106:5140,9853,FHD|25FPS|22M,rtsp://182.139.235.40/PLTV/88888896/224/3221227940/10000100000000060000000003751294_0.smil
51,河北卫视高清,239.93.0.132:5140,585951202,FHD|25FPS|12M,rtsp://182.139.235.40/PLTV/88888888/224/3221228435/585951204.smil
52,辽宁卫视高清,239.93.1.108:5140,645256732,FHD|25FPS|17M,rtsp://182.139.235.40/PLTV/88888896/224/3221228444/645256733.smil
53,河南卫视高清,239.93.42.45:5140,658588264,FHD|25FPS|17M,rtsp://182.139.235.40/PLTV/88888896/224/3221228550/658588265.smil
54,广西卫视高清,239.93.42.46:5140,659824795,FHD|25FPS|16M,rtsp://182.139.235.40/PLTV/88888896/224/3221228519/659824796.smil
55,云南卫视,239.93.0.174:5140,6072,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888893/224/3221227145/10000100000000060000000001098321_0.smil
56,吉林卫视高清,239.93.0.248:5140,668868556,FHD|25FPS|11M,rtsp://182.139.235.40/PLTV/88888896/224/3221228544/668868557.smil
57,陕西卫视,239.93.0.176:5140,6053,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888893/224/3221226746/10000100000000060000000001098318_0.smil
58,山西卫视,239.93.0.6:5140,6132,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888893/224/3221226758/10000100000000060000000001098364_0.smil
59,内蒙古卫视,239.93.0.8:5140,6114,SD|25FPS|6M,rtsp://182.139.235.40/PLTV/88888893/224/3221226754/10000100000000060000000001098346_0.smil
60,青海卫视,239.93.0.192:5140,6115,SD|25FPS|4M,rtsp://182.139.235.40/PLTV/88888893/224/3221227149/10000100000000060000000001098347_0.smil
61,宁夏卫视,239.93.0.247:5140,5871,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/88888893/224/3221226728/10000100000000060000000000988190_0.smil
62,西藏卫视,239.93.0.175:5140,6116,SD|25FPS|4M,rtsp://182.139.235.40/PLTV/88888893/224/3221226756/10000100000000060000000001098348_0.smil
63,新疆卫视,239.93.0.194:5140,6133,SD|25FPS|6M,rtsp://182.139.235.40/PLTV/88888893/224/3221227153/10000100000000060000000001098365_0.smil
64,甘肃卫视高清,239.93.0.81:5140,668868623,FHD|25FPS|16M,rtsp://182.139.235.40/PLTV/88888896/224/3221228549/668868624.smil
65,海南卫视,239.93.0.80:5140,837,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888888/224/3221226301/00000100000000060000000000035246_0.smil
66,陕西农林,239.93.0.100:5140,622878554,SD|25FPS|4M,rtsp://182.139.235.40/PLTV/88888896/224/3221228441/622878555.smil
67,兵团卫视,239.93.42.43:5140,659011740,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/88888896/224/3221228478/659011741.smil
68,峨眉电影,239.93.0.252:5140,4451,SD|50FPS|6M,rtsp://182.139.235.40/PLTV/88888896/224/3221226951/10000100000000060000000000712272_0.smil
69,厦门卫视,239.93.42.57:5140,676466027,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/88888896/224/3221228557/676466028.smil
70,三沙卫视,239.93.42.58:5140,676466023,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/88888896/224/3221228559/676466024.smil
71,CDTV-2,239.93.0.17:1239,843,SD|25FPS|5M,rtsp://182.139.235.40/PLTV/88888888/224/3221226313/00000100000000060000000000035250_0.smil
72,CDTV-3,239.93.0.18:1238,677,SD|25FPS|0.81M,rtsp://182.139.235.40/PLTV/88888888/224/3221226011/00000100000000060000000000035092_0.smil
73,CDTV-4,239.93.0.19:1250,842,SD|25FPS|9M,rtsp://182.139.235.40/PLTV/88888888/224/3221226311/00000100000000060000000000035251_0.smil
74,CDTV-5高清,239.93.1.231:5140,43577900,FHD|25FPS|35M,rtsp://182.139.235.40/PLTV/88888898/224/3221228233/10000100000000060000000004506788_0.smil
75,CDTV-6,239.93.0.21:1251,841,SD|25FPS|4M,rtsp://182.139.235.40/PLTV/88888888/224/3221226309/00000100000000060000000000035252_0.smil
76,CDTV-8高清,239.93.0.22:1252,840,FHD|25FPS|14M,rtsp://182.139.235.40/PLTV/88888888/224/3221226307/00000100000000060000000000035253_0.smil
77,上海纪实高清,239.93.1.137:5140,585951190,FHD|50FPS|34M,rtsp://182.139.235.40/PLTV/88888888/224/3221228404/585951193.smil
78,金鹰纪实高清,239.93.0.130:5140,585951208,FHD|25FPS|6M,rtsp://182.139.235.40/PLTV/88888888/224/3221228412/585951209.smil
79,中国交通·四川,239.93.0.142:5140,589023142,FHD|25FPS|7M,rtsp://182.139.235.40/PLTV/88888888/224/3221228440/589023143.smil
80,CETV-1高清,239.93.1.111:5140,593436496,FHD|25FPS|6M,rtsp://182.139.235.40/PLTV/88888888/224/3221228373/593436497.smil
81,熊猫新闻高清,239.93.1.112:5140,9192,FHD|25FPS|6M,rtsp://182.139.235.40/PLTV/88888893/224/3221227401/10000100000000060000000002893949_0.smil
82,熊猫体娱高清,239.93.0.94:5140,6158,FHD|25FPS|9M,rtsp://182.139.235.40/PLTV/88888893/224/3221227161/10000100000000060000000001098399_0.smil
83,熊猫少儿高清,239.93.1.189:5140,9731,FHD|25FPS|11M,rtsp://182.139.235.40/PLTV/88888893/224/3221227892/10000100000000060000000003561287_0.smil
84,熊猫影院高清,239.93.0.214:5140,6157,FHD|25FPS|8M,rtsp://182.139.235.40/PLTV/88888893/224/3221226766/10000100000000060000000001098398_0.smil
85,睛彩四川,239.93.0.126:5140,9971,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/88888896/224/3221228028/10000100000000060000000004002942_0.smil
86,成都大运高清,239.93.0.224:1281,1462,HD|25FPS|7M,rtsp://182.139.235.40/PLTV/88888888/224/3221226162/10000100000000060000000000119130_0.smil
87,熊猫频道高清,239.93.0.211:9148,9951,FHD|25FPS|6M,rtsp://182.139.235.40/PLTV/88888895/224/3221228037/10000100000000060000000003575666_0.smil
88,金熊猫卡通高清,239.93.1.172:5140,6156,FHD|25FPS|6M,rtsp://182.139.235.40/PLTV/88888893/224/3221227159/10000100000000060000000001098397_0.smil
89,炫动卡通,239.93.0.173:5140,6152,SD|25FPS|5M,rtsp://182.139.235.40/PLTV/88888893/224/3221227155/10000100000000060000000001098393_0.smil
90,嘉佳卡通,239.93.0.246:5140,2392,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888893/224/3221226286/10000100000000060000000000378082_0.smil
91,收视导视高清,239.93.1.39:5140,613328509,FHD|25FPS|8M,rtsp://182.139.235.40/PLTV/88888896/224/3221228426/613328510.smil
92,熊猫爱生活高清,239.93.1.190:5140,9732,FHD|25FPS|11M,rtsp://182.139.235.40/PLTV/88888893/224/3221227898/10000100000000060000000003561289_0.smil
93,大爱四川高清,239.93.1.110:5140,20000506,FHD|25FPS|11M,rtsp://182.139.235.40/PLTV/88888896/224/3221228392/10000100000000060000000003794875_0.smil
94,HD看电影,239.93.42.47:5140,666274570,SD|50FPS|10M,rtsp://182.139.235.40/PLTV/88888896/224/3221228524/666274571.smil
95,家政频道高清,239.93.42.48:5140,666311345,未能播放,rtsp://182.139.235.40/PLTV/88888896/224/3221228483/666311346.smil
96,CETV-4,239.93.0.50:5140,603432208,SD|25FPS|6M,rtsp://182.139.235.40/PLTV/88888888/224/3221228416/603432209.smil
97,经典电影,239.93.0.57:9024,1168,SD|25FPS|4M,rtsp://182.139.235.40/PLTV/88888888/224/3221226042/10000100000000060000000000076468_0.smil
98,华语影院,239.93.0.138:5140,784,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888888/224/3221226207/00000100000000060000000000035197_0.smil
99,星光院线,239.93.0.139:5140,756,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888888/224/3221226157/00000100000000060000000000035170_0.smil
