4K,#genre#
芒果4K[3840*2160],http://112.5.223.74/ott.fj.chinamobile.com/PLTV/88888888/224/3221226887/index.m3u8
芒果4k[3840*2160],http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226887/1.m3u8
海看4K[3840*2160],http://120.221.5.175:8089/PLTV/88888888/224/3221225833/index.m3u8
海看4K[3840*2160],http://120.221.5.105:8089/PLTV/88888888/224/3221225833/index.m3u8
海看4K[3840*2160],http://120.221.5.105:8089/PLTV/88888888/224/3221225833/1.m3u8
北京IPTV4K[3840*2160],http://221.179.136.149/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226550/1.m3u8
北京IPTV4K[3840*2160],http://bjyd1.jilu8.cn/PLTV/88888888/224/3221226550/1.m3u8
爱上4K[3840*2160],http://sam629205.f3322.net:2018/udp/239.93.1.113:5140
BesTV4K[3840*2160],http://117.148.187.46/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229311/01.m3u8?fmt=ts2hls
BesTV4K[3840*2160],http://117.148.187.83/PLTV/88888888/224/3221226718/index.m3u8
BesTV4K[3840*2160],http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229311/01.m3u8?fmt=ts2hls
BesTV4K[3840*2160],http://39.134.176.157/PLTV/88888888/224/3221226718/index.m3u8
BesTV4K[3840*2160],http://117.148.187.59/PLTV/88888888/224/3221226718/index.m3u8
BesTV4K[3840*2160],http://112.17.40.145/PLTV/88888888/224/3221226718/index.m3u8
BesTV4K[3840*2160],http://117.148.187.46/PLTV/88888888/224/3221226718/index.m3u8
BesTV4K[3840*2160],http://111.0.93.25/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229311/index.m3u8?fmt=ts2hls
BesTV4K[3840*2160],http://117.148.187.37/PLTV/88888888/224/3221226718/index.m3u8
BesTV4K[3840*2160],http://39.134.185.235/PLTV/88888888/224/3221226718/index.m3u8
BesTV4K[3840*2160],http://112.17.40.140/PLTV/88888888/224/3221226718/index.m3u8
BesTV4K[3840*2160],http://39.135.98.8/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229311/01.m3u8?fmt=ts2hlsrrsip=ltcottcdn.ln.chinamobile.com&zoneoffset=0&servicetype=1


央视,#genre#
CCTV电视指南[1920*1080],http://tjy2002.vicp.net:4022/udp/239.253.43.19:5146
CCTV电视指南[1920*1080],http://39.135.10.66/gz.ucdn.10086.cn/PLTV/88888888/224/3221226120/1/index.m3u8?fmt=ts2hls
