id      频道名
jat  江安电视台
gxzh  珙县新闻综合
xwt  兴文电视台
gxt  高县电视台
nxt  南溪综合
psxwzh  屏山新闻综合
ylyt  筠连新闻综合

ncxwzh  南充综合
ncgg  南充公共
xczh  西充新闻综合
nbxw  南部新闻
pazh  蓬安综合
lzxw  阆中综合
ylxw  仪陇新闻综合
ysxw  营山综合

dzxwzh  达州新闻综合
zgg  达州公共
dzds  达州导视
xcxwzhH264  通川区电视台
tcq  通川区电视台2
dcxwzh  达川新闻综合
qxxwzh  渠县新闻综合
xhxwzh  宣汉新闻综合
kjxwzh  开江新闻综合
wyxwzh  万源综合

yazh  雅安新闻综合
yagg  雅安公共
ycpd  雅安雨城
bxdst  宝兴综合
hyxwzh  汉源新闻综合
tqzh  天全新闻综合
smxwzh  石棉电视台
lszh  芦山新闻综合
msdstH265  名山电视台

gaxwzh  广安新闻综合
gagg  广安公共
gaqxw  广安区电视台
ycxw  岳池综合
hyxw  华蓥综合x
qfxw  前锋综合
lsxw  邻水综合
wsxw  武胜综合

bzzhH265  巴中综合
bzggH265  巴中公共
bzxw  巴州电视
eyxw  恩阳新闻
pcxw  平昌新闻综合
njxw  南江电视台
tjxwH265  通江综合

msxwzhgq  眉山综合
msgg  眉山公共
pszh  彭山综合
qszh  青神综合
hyzh  洪雅新闻综合
dlxwzhH265  丹棱新闻综合

lsxwHDH265  凉山新闻综合
yyzh  凉山彝语
dcxw  德昌电视台
hlyt  会理新闻综合
pgt  普格新闻综合
mnxw  冕宁电视台
xctHD  西昌综合
glt  甘洛电视台

gzxwzh  甘孜新闻综合

jpdsH265  精品导视
cwdsHDH264  川网导视
emdy4k 4K超高清电影

test1 凤凰中文
test2 凤凰资讯
