📡天津联通,#genre#
CCTV-12社会与法HD,http://117.10.8.201: 4022/udp/225.1.1.142:5002
CCTV-13新闻HD,http://117.10.8.201: 4022/udp/225.1.2.193:5002
CCTV-14少儿HD,http://117.10.8.201: 4022/udp/225.1.1.144:5002
CCTV-15音乐HD,http://117.10.8.201: 4022/udp/225.1.2.194:5002
CCTV-17农业农村HD,http://117.10.8.201: 4022/udp/225.1.2.52:5002
欢笑剧场4KHD,http://117.10.8.201: 4022/udp/225.1.1.139:5002
4K私享家4K,http://117.10.8.201: 4022/udp/225.1.1.156:5002
中央英语NEWS,http://117.10.8.201: 4022/udp/225.1.1.27:5002

天津卫视HD,http://117.10.8.201: 4022/udp/225.1.1.111:5002
天津-1新闻HD,http://117.10.8.201: 4022/udp/225.1.1.130:5002
天津-2文艺HD,http://117.10.8.201: 4022/udp/225.1.1.131:5002
天津-3影视HD,http://117.10.8.201: 4022/udp/225.1.1.149:5002
天津-4都市HD,http://117.10.8.201: 4022/udp/225.1.1.128:5002
天津-5体育HD,http://117.10.8.201: 4022/udp/225.1.1.122:5002
天津-6科教HD,http://117.10.8.201: 4022/udp/225.1.1.129:5002
天津-7少儿HD,http://117.10.8.201: 4022/udp/225.1.1.125:5002

曲艺大观HD,http://117.10.8.201: 4022/udp/225.1.2.53:5002
天津卫视IPTV,http://117.10.8.201: 4022/udp/225.1.1.77:5002
天津卫视蓟州HD,http://117.10.8.201: 4022/udp/225.1.1.82:5002
大港油田企业频道HD,http://117.10.8.201: 4022/udp/225.1.2.14:5002
河西台,http://117.10.8.201: 4022/udp/225.1.2.4:5002
河东台,http://117.10.8.201: 4022/udp/225.1.2.2:5002
滨海1,http://117.10.8.201: 4022/udp/225.1.2.7:5002
滨海2,http://117.10.8.201: 4022/udp/225.1.2.8:5002
静海,http://117.10.8.201: 4022/udp/225.1.1.110:5002

广东卫视HD,http://117.10.8.201: 4022/udp/225.1.1.116:5002
海南卫视HD,http://117.10.8.201: 4022/udp/225.1.2.82:5002
浙江卫视HD,http://117.10.8.201: 4022/udp/225.1.1.112:5002
湖南卫视HD,http://117.10.8.201: 4022/udp/225.1.1.114:5002
湖北卫视HD,http://117.10.8.201: 4022/udp/225.1.1.147:5002
四川卫视HD,http://117.10.8.201: 4022/udp/225.1.1.123:5002
江西卫视HD,http://117.10.8.201: 4022/udp/225.1.2.29:5002
辽宁卫视HD,http://117.10.8.201: 4022/udp/225.1.1.154:5002
安徽卫视HD,http://117.10.8.201: 4022/udp/225.1.1.127:5002
深圳卫视HD,http://117.10.8.201: 4022/udp/225.1.1.117:5002
吉林卫视HD,http://117.10.8.201: 4022/udp/225.1.2.26:5002
上海东方卫视HD,http://117.10.8.201: 4022/udp/225.1.2.31:5002
山东卫视HD,http://117.10.8.201: 4022/udp/225.1.1.148:5002
北京卫视HD,http://117.10.8.201: 4022/udp/225.1.1.113:5002
河北卫视HD,http://117.10.8.201: 4022/udp/225.1.2.27:5002
江苏卫视HD,http://117.10.8.201: 4022/udp/225.1.1.126:5002
河南卫视HD,http://117.10.8.201: 4022/udp/225.1.2.61:5002
贵州卫视HD,http://117.10.8.201: 4022/udp/225.1.2.28:5002
黑龙江卫视HD,http://117.10.8.201: 4022/udp/225.1.1.115:5002
青海卫视,http://117.10.8.201: 4022/udp/225.1.1.54:5002
三沙卫视,http://117.10.8.201: 4022/udp/225.1.2.181:5002
宁夏卫视,http://117.10.8.201: 4022/udp/225.1.1.56:5002
兵团卫视,http://117.10.8.201: 4022/udp/225.1.1.57:5002
卡酷卡通,http://117.10.8.201: 4022/udp/225.1.1.58:5002
金鹰卡通,http://117.10.8.201: 4022/udp/225.1.1.59:5002
重庆卫视HD,http://117.10.8.201: 4022/udp/225.1.1.155:5002
云南卫视,http://117.10.8.201: 4022/udp/225.1.1.61:5002
炫动卡通,http://117.10.8.201: 4022/udp/225.1.1.62:5002
湖南卫视金鹰纪实HD,http://117.10.8.201: 4022/udp/225.1.1.124:5002

北京冬奥纪实HD,http://117.10.8.201: 4022/udp/225.1.2.30:5002
上海纪实人文HD,http://117.10.8.201: 4022/udp/225.1.2.25:5002
CCTV-风云足球HD,http://117.10.8.201: 4022/udp/225.1.2.168:5002
CCTV-高尔夫·网球HD,http://117.10.8.201: 4022/udp/225.1.2.169:5002
CCTV-第一剧场HD,http://117.10.8.201: 4022/udp/225.1.2.175:5002
CCTV-怀旧剧场HD,http://117.10.8.201: 4022/udp/225.1.2.173:5002
CCTV-风云剧场HD,http://117.10.8.201: 4022/udp/225.1.2.174:5002
CCTV-世界地理HD,http://117.10.8.201: 4022/udp/225.1.2.171:5002
CCTV-兵器科技HD,http://117.10.8.201: 4022/udp/225.1.2.166:5002
中央新影老故事,http://117.10.8.201: 4022/udp/225.1.1.188:5002
CCTV-央视文化精品HD,http://117.10.8.201: 4022/udp/225.1.2.177:5002
CCTV-女性时尚HD,http://117.10.8.201: 4022/udp/225.1.2.172:5002
中央新影新科动漫,http://117.10.8.201: 4022/udp/225.1.1.191:5002
CCTV-风云音乐HD,http://117.10.8.201: 4022/udp/225.1.2.176:5002
CCTV-电视指南HD,http://117.10.8.201: 4022/udp/225.1.2.167:5002
